relationships_followers/title,relationships_followers/string_list_data/0/href,relationships_followers/string_list_data/0/value,relationships_followers/string_list_data/0/timestamp
,https://www.instagram.com/lucy_tuncer,lucy_tuncer,1552075070
,https://www.instagram.com/nastenka___tereshchenko,nastenka___tereshchenko,1552070557
,https://www.instagram.com/viktoriyajul,viktoriyajul,1552062870
,https://www.instagram.com/es.es2387,es.es2387,1552061596
,https://www.instagram.com/victoria0261,victoria0261,1552059558
,https://www.instagram.com/n_anna15,n_anna15,1552054917
,https://www.instagram.com/yulia__musiychuk,yulia__musiychuk,1552043475
,https://www.instagram.com/lokensabi,lokensabi,1552036898
,https://www.instagram.com/___i.g.o.r.e.v.n.a.__,___i.g.o.r.e.v.n.a.__,1552033061
,https://www.instagram.com/krist.07,krist.07,1552023459
,https://www.instagram.com/ruslana_gerba,ruslana_gerba,1552018337
,https://www.instagram.com/mikolapirog,mikolapirog,1551987232
,https://www.instagram.com/lukashukdarina,lukashukdarina,1551983058
,https://www.instagram.com/leventsova_tatyanka,leventsova_tatyanka,1551979385
,https://www.instagram.com/rozalia_master,rozalia_master,1551960970
,https://www.instagram.com/max_kashkarov,max_kashkarov,1551958482
,https://www.instagram.com/nn.ostrovskih,nn.ostrovskih,1551955981
,https://www.instagram.com/zaharova.alenchik.1991,zaharova.alenchik.1991,1551947040
,https://www.instagram.com/vitanovna,vitanovna,1551935738
,https://www.instagram.com/sweetheart_lana,sweetheart_lana,1551920063
,https://www.instagram.com/m.a.r.i.a.n.e.t.k.a,m.a.r.i.a.n.e.t.k.a,1551905445
,https://www.instagram.com/komissionka_brand_outlet,komissionka_brand_outlet,1551902792
,https://www.instagram.com/polishchuk.sasha,polishchuk.sasha,1551900624
,https://www.instagram.com/iwanwowkwip.vip1994,iwanwowkwip.vip1994,1551896958
,https://www.instagram.com/kravcovaalena97,kravcovaalena97,1551895218
,https://www.instagram.com/kusichka22,kusichka22,1551895046
,https://www.instagram.com/aleksandra_rakham,aleksandra_rakham,1551894666
,https://www.instagram.com/katerinakacheniuk,katerinakacheniuk,1551893847
,https://www.instagram.com/alinafurka,alinafurka,1551893209
,https://www.instagram.com/karinatwaina,karinatwaina,1551887959
,https://www.instagram.com/elenalekarevich,elenalekarevich,1551887880
,https://www.instagram.com/mudrakira5944,mudrakira5944,1551884441
,https://www.instagram.com/zpkorpusnayamebel,zpkorpusnayamebel,1551882038
,https://www.instagram.com/ddulyyak,ddulyyak,1551879016
,https://www.instagram.com/panfilenkodarina,panfilenkodarina,1551876699
,https://www.instagram.com/alinkavitr,alinkavitr,1551870605
,https://www.instagram.com/vol_bi_nebbia,vol_bi_nebbia,1551865922
,https://www.instagram.com/oly.kch_14,oly.kch_14,1551858745
