"count";"username";"datetime";"text"
"324";"natali_strelec";"06:36:06 19-06-2021";"https://instagram.com/simonov.sk?utm_medium=copy_link"
"325";"natali_strelec";"06:37:53 19-06-2021";"https://instagram.com/raiskyi_kostiantyn?utm_medium=copy_link"
"326";"natali_strelec";"06:39:16 19-06-2021";"https://instagram.com/belikova.photography?utm_medium=copy_link"
"327";"natali_strelec";"06:42:19 19-06-2021";"https://instagram.com/yulia_somova_marykay?utm_medium=copy_link"
"328";"ksiusha.glushkova";"06:59:47 19-06-2021";"@yurii_bielikov"
"329";"ksiusha.glushkova";"06:59:49 19-06-2021";"@docnelin"
"330";"ksiusha.glushkova";"06:59:52 19-06-2021";"@sardakivska"
"331";"ksiusha.glushkova";"06:59:55 19-06-2021";"@irinairina3586"
"332";"ksiusha.glushkova";"06:59:58 19-06-2021";"@elenazhuzhoma5673"
"333";"ksiusha.glushkova";"07:00:01 19-06-2021";"@goncharuk371"
"334";"ksiusha.glushkova";"07:00:04 19-06-2021";"@galina_tverdunova"
"335";"ksiusha.glushkova";"07:00:10 19-06-2021";"@kaliberdastanislav"
"336";"ksiusha.glushkova";"07:00:21 19-06-2021";"@karpliuk.volodimir"
"337";"goncharlyubov";"09:00:28 19-06-2021";"@sergey.grigorov"
"338";"goncharlyubov";"09:00:33 19-06-2021";"@yalga_coach"
"339";"goncharlyubov";"09:00:46 19-06-2021";"@sedoy_pablo"
"340";"goncharlyubov";"09:00:53 19-06-2021";"@_.n.eternity._"
"341";"goncharlyubov";"09:01:03 19-06-2021";"@irenkaruslanovna_"
"342";"anyuta_khimiak";"09:31:59 19-06-2021";"@nikolaikhimiak"
"343";"myroslavakopievskaya";"10:06:10 19-06-2021";"@milaludmila1"
"344";"myroslavakopievskaya";"10:06:21 19-06-2021";"@ksu_ksu1"
"345";"myroslavakopievskaya";"10:06:30 19-06-2021";"@vlasiuksavchuk"
"346";"dasha_duka";"10:23:24 19-06-2021";"@m_bratushchyk"
"347";"dasha_duka";"10:23:33 19-06-2021";"@_annnnya_"
"348";"dasha_duka";"10:23:39 19-06-2021";"@anna_nails_irpen"
"349";"dasha_duka";"10:23:44 19-06-2021";"@svetlana.duka1"
"350";"dasha_duka";"10:23:50 19-06-2021";"@_annnnya_"
"351";"yuliya.kolesnyk";"10:31:19 19-06-2021";"@artemintrowert"
"352";"yuliya.kolesnyk";"10:31:31 19-06-2021";"@spivakkolesnik"
"353";"yuliya.kolesnyk";"10:31:38 19-06-2021";"@tan_skorpion"
"354";"yuliya.kolesnyk";"10:31:48 19-06-2021";"@melnik9351"
"355";"alinaburdykina_";"10:44:53 19-06-2021";"@sergey_andronyk @yunonakyrylova"
"356";"alinaburdykina_";"10:45:03 19-06-2021";"@masha_samborskaya @__julia_malina_"
"357";"alinaburdykina_";"10:45:18 19-06-2021";"@innaburdykina_nails @marykorobchenko"
"358";"natalyabelina";"14:17:08 19-06-2021";"@belinpers"
"359";"vlasiuksavchuk";"16:08:18 19-06-2021";"@myroslavakopievskaya"
"360";"vse_g_da";"22:45:48 19-06-2021";"@ira_cional"
"361";"vse_g_da";"22:45:54 19-06-2021";"@gorgololo"
"362";"n_zborowskaya";"02:52:34 20-06-2021";"@zborowski_s"
"363";"druchok_bohdan";"17:54:20 20-06-2021";"@valeria__vlv"
"364";"anastasiiapro_bro";"22:52:23 20-06-2021";"@vizzery"
"365";"anastasiiapro_bro";"22:52:42 20-06-2021";"@katya_krytska"
"366";"anastasiiapro_bro";"22:52:52 20-06-2021";"@katerinakravchuk98"
"367";"julishpil";"23:40:02 20-06-2021";"@yuliyakryvenko"
