"count";"username";"datetime";"text"
"249";"kseniasg1986";"16:43:53 17-07-2021";"@vasilek_lady"
"250";"alinchikkk2.0";"16:43:54 17-07-2021";"@juliya_hamster"
"251";"alinchikkk2.0";"16:43:56 17-07-2021";"@sonya_aa"
"252";"kseniasg1986";"16:43:57 17-07-2021";"@genrietta_mihailovna"
"253";"alinchikkk2.0";"16:43:58 17-07-2021";"@samsonov2436"
"254";"kseniasg1986";"16:44:01 17-07-2021";"@irina.chepurko1985"
"255";"anchishkina13.04";"16:44:04 17-07-2021";"@_lenok_._"
"256";"kseniasg1986";"16:44:06 17-07-2021";"@kudryskajane"
"257";"stavrova_julia";"16:44:08 17-07-2021";"@lavr23"
"258";"anchishkina13.04";"16:44:08 17-07-2021";"@_doris104"
"259";"andreevavaleriya";"16:44:12 17-07-2021";"@ekaterinamakovetskaia"
"260";"kseniasg1986";"16:44:13 17-07-2021";"@zhovtulia"
"261";"andreevavaleriya";"16:44:15 17-07-2021";"@dariiya_kolesnik"
"262";"kseniasg1986";"16:44:16 17-07-2021";"@igooorko_life"
"263";"stavrova_julia";"16:44:18 17-07-2021";"@oksana_rudnyzka"
"264";"kseniasg1986";"16:44:20 17-07-2021";"@eugene_che1977"
"265";"kseniasg1986";"16:44:23 17-07-2021";"@euphoria_iren"
"266";"stavrova_julia";"16:44:24 17-07-2021";"@wordapovna"
"267";"iruska_o";"16:44:27 17-07-2021";"@mariana.byk"
"268";"alinchikkk2.0";"16:44:33 17-07-2021";"@bilyy_____"
"269";"andreevavaleriya";"16:44:33 17-07-2021";"@s_golovko1980"
"270";"alinchikkk2.0";"16:44:36 17-07-2021";"@_vlad_14888"
"271";"kseniasg1986";"16:44:37 17-07-2021";"@family__lysenko"
"272";"iruska_o";"16:44:38 17-07-2021";"@ivanka_yakimenko"
"273";"alinchikkk2.0";"16:44:38 17-07-2021";"@vladislav.slavniy"
"274";"anchishkina13.04";"16:44:42 17-07-2021";"@2595_sergei"
"275";"kseniasg1986";"16:44:45 17-07-2021";"@tatyanka_sister"
"276";"nadintvoia";"16:44:51 17-07-2021";"@anastasiya_ya_antropova"
"277";"sasha_ilchenko11";"16:44:55 17-07-2021";"@karina_movchan05"
"278";"anchishkina13.04";"16:44:56 17-07-2021";"@natashanatasha811"
"279";"alenavereschak";"16:44:57 17-07-2021";"@seriogavereshchak"
"280";"kseniasg1986";"16:44:58 17-07-2021";"@svet_mylife"
"281";"stavrova_julia";"16:45:01 17-07-2021";"@natali_stavrova"
"282";"nadintvoia";"16:45:01 17-07-2021";"@moondog_1982"
"283";"alinkabokii";"16:45:02 17-07-2021";"@kamila__savchenko"
"284";"nadintvoia";"16:45:06 17-07-2021";"@alenaveselovskaia"
"285";"ol4ik_4k";"16:45:06 17-07-2021";"@_nk.k.k_"
"286";"alinkabokii";"16:45:08 17-07-2021";"@yakovlev.vp"
"287";"sasha_ilchenko11";"16:45:08 17-07-2021";"@luba_ilchenko"
"288";"nadintvoia";"16:45:10 17-07-2021";"@tania_kshanovska"
"289";"kseniasg1986";"16:45:11 17-07-2021";"@bronislavaleshchuk"
"290";"alenavereschak";"16:45:15 17-07-2021";"@olya_volosozhar"
"291";"kseniasg1986";"16:45:16 17-07-2021";"@family__lysenko"
"292";"nadintvoia";"16:45:16 17-07-2021";"@lesiakindrakevych"
"293";"sasha_ilchenko11";"16:45:16 17-07-2021";"@odnorogirina"
"294";"kseniasg1986";"16:45:20 17-07-2021";"@flower_in_a_desert"
"295";"ol4ik_4k";"16:45:22 17-07-2021";"@_pkb.ff"
"296";"alinkabokii";"16:45:23 17-07-2021";"@grin.alenka"
"297";"kseniasg1986";"16:45:24 17-07-2021";"@faina_zhinochka"
"298";"drobot_igor_";"16:45:25 17-07-2021";"@vladislav.dh"
"299";"nadintvoia";"16:45:27 17-07-2021";"@lesia_podoliak"
